Forest Type,Seral Stage,Desired % Range,Classification,Current Area %,Area (m²),Area (acres)
White Fir,Early,10–20%,below target,2.19,1987200.0,491.05
White Fir,Mid (closed canopy),5–15%,above target,36.54,33106500.0,8180.79
White Fir,Mid (open canopy),10–15%,on target,12.48,11305800.0,2793.72
White Fir,Late (open canopy),30–40%,below target,19.33,17513100.0,4327.58
White Fir,Late (closed canopy),20–30%,on target,29.45,26678700.0,6592.45
Sub Alpine Conifer,Early,10–20%,below target,2.67,689400.0,170.35
Sub Alpine Conifer,Mid (closed canopy),10–20%,above target,37.39,9643500.0,2382.96
Sub Alpine Conifer,Mid (open canopy),5–15%,above target,26.12,6737400.0,1664.85
Sub Alpine Conifer,Late (open canopy),15–25%,on target,21.75,5609700.0,1386.19
Sub Alpine Conifer,Late (closed canopy),10–20%,on target,12.06,3111300.0,768.82
Aspen,Early,10–20%,below target,2.24,83700.0,20.68
Aspen,Mid (closed canopy),5–15%,above target,48.93,1828800.0,451.91
Aspen,Mid (open canopy),10–20%,above target,20.59,769500.0,190.15
Aspen,Late (open canopy),15–25%,below target,9.41,351900.0,86.96
Aspen,Late (closed canopy),25–35%,below target,18.83,703800.0,173.91
